Type,Model,Processor,RAM,Graphics Card,Storage,Screen Size,Price,Average Rating,Speed,COUNT
Phone,Apple iPhone 13 Pro Max,Apple A15 Bionic,6 GB,,128 GB,6.7 inshes,3723,0.57065,None,9
Phone,Apple iPhone 12 mini,Apple A14,4 GB,,256 GB,5.4 inshes,1849,0.40845,None,12
Phone,Samsung Galaxy Z Fold4 SM-F936B,Snapdragon 8+ Gen 1,12 GB,,256 GB,7.6 inshes,3720,0.543,120 Hz,5
Phone,Samsung Galaxy A34 5G SM-A346E/DSN,Mediatek MT6877V Dimensity 1080,8 GB,,128 GB,6.6 inshes,908,0.1889,120 Hz,6
Phone,Xiaomi Redmi A2 Plus,Mediatek Helio G36,3 GB,,64 GB,6.52 inshes,350,0.0635,None,10
Phone,Apple iPhone 15 Pro Max,Apple A17 Pro,8 GB,,1 TB,6.7 inshes,7000,0.85,120 Hz,15
Phone,Samsung Galaxy S23 Plus 5G SM-S916B/DS,Snapdragon 8 Gen 2,8 GB,,512 GB,6.6 inshes,3228,0.6014,120 Hz,6
Phone,Xiaomi Redmi A3,Mediatek Helio G36,4 GB,,128 GB,6.71 inshes ,438,0.0679,90 Hz,5
Phone,Google Pixel 6a,Google Tensor,6 GB,,128 GB,6.1 inshes,1168,0.3119,None,7
Phone,Xiaomi Poco F5 Pro,Snapdragon 8+ Gen 1,12 GB,,512 GB,6.67 inshes,2000,0.457,120 Hz,9
Phone,Samsung Galaxy S21 Ultra 5G SM-G998B/DS,Exynos 2100,None,,128 GB,6.8 inshes,1838,0.3594,120 Hz,13
Phone,Xiaomi Redmi A3,Mediatek Helio G36,4 GB,,128 GB,6.71 inshes ,438,0.0679,90 Hz,14
Phone,Samsung Galaxy Note 20 5G SM-N981B/DS,Exynos 990,8 GB,,256 GB,6.7 inshes,1795,0.25825,None,11
Phone,Samsung Galaxy A73 5G SM-A736B/DS,Snapdragon 778G,8 GB,,128 GB,6.7 inshes,1750,0.269,120 Hz,8
Phone,Apple iPhone 14 Pro Max,Apple A16 Bionic,6 GB,,128 GB,6.7 inshes,4700,0.695,120 Hz,10
Phone,Xiaomi Redmi Note 13 Pro Plus,Mediatek Dimensity 7200 Ultra,8 GB,,256 GB,6.67 inshes,1440,0.251,120 Hz,9
Phone,Samsung Galaxy A15 SM-A155F/DS,Mediatek Helio G99,8 GB,,256 GB,6.5 inshes,735,0.14275,90 Hz,15
Phone,Apple iPhone 12 Pro,Apple A14 Bionic,6 GB,,128 GB,6.1 inshes,2653,0.44865,None,12
Phone,Samsung Galaxy Note 10 SM-N970F,Exynos 9825,8 GB,,256 GB,6.3 inshes,1400,0.3315,None,6
Phone,Nokia 2660 Flip,Unisoc T107,48 MB,,128 MB,2.8 inshes,319,0.06195,None,5
Phone,Samsung Galaxy S20 Ultra SM-G988B/DS,Exynos 990,12 GB,,128 GB,6.9 inshes,1754,0.1952,120 Hz,13
Phone,Apple iPhone 15 Pro,Apple A17 Pro,8 GB,,1 TB,6.1 inshes,6570,0.8285,120 Hz,10
Phone,Samsung Galaxy S10 SM-G973F,Exynos 9820,8 GB,,128 GB,6.1 inshes,1040,0.256,None,9
Phone,Xiaomi Redmi Note 12S,Mediatek Helio G96,8 GB,,256 GB,6.43 inshes,919,0.15045,90 Hz,8
Phone,Samsung Galaxy Note 10 Plus SM-N975F,Exynos 9825,12 GB,,256 GB,6.8 inshes,1639,0.34345,None,15
Phone,Nokia 110,None,128 MB,,48 MB,1.8 inshes,205,,None,12
Phone,Google Pixel 7 Pro,Google Tensor G2,12 GB,,256 GB,6.7 inshes,2560,0.39,120 Hz,7
Phone,Apple iPhone 13 mini ,Apple A15 Bion,4 GB,,512 GB,5.4 inshes,3398,0.5544,120 Hz,6
Phone,Apple iPhone SE ,Apple A15 Bionic,4 GB,,64GB,4.7 inshes,1495,0.45925,60 Hz,8
Phone,Huawei P30 Pro ,Kirin 980,6GB,,128GB,6.47? inshes,1580,0.227,60 Hz,9
Phone,Samsung Galaxy Note 9 SM-N960F,Exynos 9810,6GB,,128GB,6.4 inshes ,999,0.24095,60  Hz,12
Phone,Samsung Galaxy S21 Ultra 5G SM-G998B/DS , Exynos 2100, 16GB,,512 GB,6.8 inshes ,2460,0.3905,120 Hz,7
Phone,Samsung Galaxy S20 Ultra 5G SM-G988U , Exynos 990,12GB,, 128GB,6.9 inshes ,1690,0.192,120  Hz,14
Phone,Samsung Galaxy A14 SM-A145F/DS,Mediatek MT676,6GB,,128GB ,6.6 inshes ,604,0.0922,None,15
Phone,Samsung Galaxy Note 20 SM-N980F/DS,Exynos 990,8GB,,256 GB,6.7 inshes,2299,0.22245,60 Hz,13
Phone,Samsung Galaxy S9 SM-G960F,Exynos 9810,4 GB,,64 GB,5.8 inshes,924,0.2372,None,11
Phone,Apple iPhone 12 Pro ,Apple A14 Bion,6 GB,,256 GB,6.1 inshes,3170,0.4745,120 Hz,10
Phone,Samsung Galaxy A52 SM-A525F/DS ,Snapdragon 720G,6 GB,,128GB ,6.5 inshes,1364,0.1777,90 Hz,6
Phone,Samsung Galaxy F54 SM-E546B/DS,Exynos 1380,8 GB,,256GB,6.7 inshes,1375,0.23875,120  Hz,7
Phone,iPhone X, Apple A11 Bion.,3 GB ,,64GB,5.8  inshes,1298,0.1414,60 Hz,12
Phone,Samsung Galaxy A71 SM-A715F , Snapdragon 730,8 GB,,128GB,6.7  inshes,1399,0.18645,60 Hz,8
Phone,Blackview A95 128GB ,Mediatek MT677,8 GB,,128GB,6.53 nshes,592,0.1111,None,9
Phone,Apple iPhone 11,Apple A13,4 GB,, 256GB,6.1  inshes,2159,0.36945,60 Hz,14
Phone,Apple iPhone 14 Pro Max,Apple A16 Bion,6  GB,,1 TB,6.7  inshes,5285,0.72425,120  Hz,5
Phone,Samsung Galaxy A14 SM-A145F/DS, Mediatek MT676,4GB,,128GB,6.6 inshes ,598,0.0919,None,15
Phone,Samsung Galaxy A51 SM-A515F,Exynos 9611,6GB,,128GB,6.5 inshes ,894,0.1657,None,11
Phone,Samsung Galaxy A35 SM-A356E/DS ,Exynos 1380,8GB,,256 GB,6.6 inshes ,1340,0.237,120 Hz,10
Phone,Xiaomi Redmi Note 12 Pro 5G, Mediatek MT6877V,8GB,,256 GB,6.67?  inshes ,1375,0.21225,120  Hz,7
Phone,Apple iPhone 13 Pro Max,Apple A15 Bion,6 GB,,512GB,6.7  inshes ,4460,0.6075,120 Hz,8
Phone,Samsung Galaxy S23 SM-S9110,Snapdragon 8 G,8 GB,,256GB,6.6 inshes ,2790,0.5795,120 Hz,12
Phone,Apple iPhone XR,Apple A12 Bion,3 GB,,64 GB,6.1 inshes ,1419,0.21495,60 Hz,9
Phone,Blackview A100,MediaTek Heilo,6GB,,128 GB,6.67 inshes ,550,0.0895,None,6
Phone,Blackview BV9200,MediaTek Heilo,8 GB,,256 GB,6.6 inshes ,1389,0.13145,120 Hz,13
Phone,Apple iPhone SE,Apple A13 Bion,3 GB,, 64GB,4.7 inshes ,1045,0.31375,60 Hz,15
Phone,Samsung Galaxy Z Flip3 SM-F711B , Snapdragon 888,8 GB,,256 GB,6.7 inshes ,2158,0.3829,120 HZ,7
Phone,Blackview BV4900 Pro, MediaTek Helio, 4 GB,,64GB,5.7 inshes ,589,0.09145,None,14
Phone,Apple iPhone 11 Pro,Apple A13,4GB,,256 GB ,5.8 inshes ,2587,0.39085,60 Hz,11
Phone,iPhone 8 Plus,Apple A11 Bion,3 GB,,64GB,5.5 inshes ,1229,0.13795,60 Hz,10
Phone,Apple iPhone SE, Apple A15 Bion,4GB,,256 GB,4.7 nshes ,1990,0.484,60 Hz,6
